Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Brand,Model
Mumbai,2016,18949,Petrol,Manual,First,17.8,1198.0,86.7,5.0,5.0,Honda,SX i-VTEC
Delhi,2014,107000,Diesel,Manual,First,13.0,2982.0,168.5,7.0,16.5,Toyota,4x2 Manual
Coimbatore,2018,48367,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,39.58,Audi,2011-2015 35 TDI Premium
Delhi,2013,57000,Diesel,Manual,First,22.7,1498.0,89.84,5.0,5.5,Ford,1.5 DV5 MT Titanium Optional
Delhi,2014,58000,Diesel,Manual,First,15.1,2179.0,140.0,7.0,8.1,Mahindra,W8 2WD
Kolkata,2015,30000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.5,Honda,SX i-DTEC
Kolkata,2013,34212,Diesel,Manual,First,22.07,1199.0,73.9,5.0,2.79,Volkswagen,Diesel Highline 1.2L
Ahmedabad,2010,70002,Diesel,Manual,First,16.2,1493.0,110.0,5.0,3.45,Hyundai,Transform SX VGT CRDi
Bangalore,2016,62000,Petrol,Manual,First,18.9,998.0,67.1,5.0,4.45,Maruti,R VXI BS IV
Delhi,2010,62001,Petrol,Manual,First,15.26,1598.0,103.5,5.0,2.65,Volkswagen,Petrol Highline 1.6L
Pune,2011,78958,Diesel,Manual,Second,23.0,1396.0,90.0,5.0,3.8,Hyundai,1.4 CRDi Sportz
Mumbai,2014,30180,Petrol,Manual,First,18.5,1197.0,82.85,5.0,4.65,Hyundai,Asta 1.2
Pune,2017,32851,Petrol,Manual,First,19.83,1198.0,67.0,7.0,3.95,Datsun,Plus T Petrol
Kolkata,2010,30000,Diesel,Automatic,First,14.94,2967.0,241.4,5.0,9.8,Audi,3.0 TDI Quattro Premium
Pune,2009,66000,Petrol,Manual,Second,17.0,1197.0,80.0,5.0,2.7,Hyundai,2015-2017 Asta
Coimbatore,2010,93850,Petrol,Manual,First,14.0,796.0,35.0,5.0,2.41,Maruti,5 Str STD
Ahmedabad,2014,53000,Petrol,Manual,First,17.71,1197.0,78.9,5.0,3.9,Toyota,Liva 1.2 G
Hyderabad,2011,78000,Diesel,Automatic,Second,14.74,2993.0,270.9,5.0,24.0,Jaguar,3.0 Litre S Premium Luxury
Delhi,2012,65000,Diesel,Manual,Second,16.0,2179.0,140.0,7.0,5.75,Mahindra,W8 2WD
Kolkata,2014,40000,Diesel,Automatic,First,22.32,1582.0,126.32,5.0,5.25,Hyundai,1.6 SX CRDI (O) AT
Mumbai,2017,30000,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,19.25,Toyota,Crysta 2.8 ZX AT
Coimbatore,2017,38053,Petrol,Manual,First,15.1,1196.0,73.0,5.0,3.91,Maruti,5 Seater AC
Bangalore,2014,25500,Petrol,Manual,First,25.4,624.0,37.5,4.0,2.15,Tata,Twist XT
Mumbai,2015,56087,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,20.75,BMW,Series 320d Luxury Line
Delhi,2010,71088,Petrol,Manual,First,13.5,1799.0,130.0,5.0,3.35,Honda,2006-2010 1.8 V MT
Ahmedabad,2014,55000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,11.11,Toyota,2.5 VX (Diesel) 7 Seater
Bangalore,2014,32700,Diesel,Automatic,First,23.3,1984.0,150.0,5.0,20.0,Volvo,Cross Country D3
Coimbatore,2016,39882,Petrol,Automatic,First,19.15,1198.0,75.94,5.0,6.55,Nissan,XV CVT
Mumbai,2009,128000,Petrol,Automatic,First,10.8,2497.0,215.0,5.0,7.0,BMW,Series 2010-2013 525i
Mumbai,2016,55000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,7.5,Maruti,Brezza VDi
Mumbai,2005,102000,Petrol,Manual,Second,17.0,1086.0,,5.0,0.85,Hyundai,Xing XL eRLX Euro III
Pune,2014,53753,Diesel,Automatic,Second,15.0,2143.0,107.3,5.0,16.75,Mercedes-Benz,Class B200 CDI
Kolkata,2018,10250,Diesel,Manual,First,22.0,1582.0,126.2,5.0,10.95,Hyundai,CRDi 1.6 SX Option
Pune,2011,43874,Petrol,Manual,First,18.9,998.0,67.1,5.0,2.45,Maruti,R LXI BS IV
Coimbatore,2017,32684,Petrol,Automatic,First,21.9,624.0,37.48,4.0,3.23,Tata,XTA
Kolkata,2014,42000,Diesel,Manual,First,12.05,2179.0,120.0,8.0,7.75,Mahindra,VLX
Kolkata,2009,28352,Petrol,Automatic,First,11.7,1796.0,178.0,5.0,9.35,Mercedes-Benz,C-Class 200 K AT
Pune,2013,89900,CNG,Manual,First,11.438,998.0,58.16,5.0,3.25,Maruti,R LXI CNG
Bangalore,2007,47700,Petrol,Manual,Second,10.8,2354.0,152.0,5.0,5.25,Honda,2.4 MT
Pune,2015,55000,Diesel,Automatic,First,21.21,1498.0,103.2,5.0,7.25,Volkswagen,1.5 TDI Comfortline AT
Kochi,2017,44285,Petrol,Manual,First,20.73,1373.0,91.1,5.0,7.47,Maruti,VXi Plus
Jaipur,2016,54000,Diesel,Automatic,First,16.0,2179.0,140.0,7.0,13.25,Mahindra,AT W10 FWD
Coimbatore,2016,30232,Petrol,Manual,First,21.1,1197.0,85.8,5.0,5.81,Maruti,VXI ABS
Hyderabad,2014,88500,Petrol,Manual,First,24.07,998.0,67.1,5.0,2.6,Maruti,K10 VXI
Kolkata,2017,13372,Petrol,Automatic,First,19.0,2996.0,362.07,2.0,54.0,Mercedes-Benz,43 AMG
Kochi,2019,12645,Petrol,Automatic,First,17.0,1591.0,121.3,5.0,11.5,Hyundai,VTVT 1.6 AT SX Plus
Chennai,2010,94385,Petrol,Manual,Second,19.7,796.0,46.3,5.0,1.6,Maruti,LXi BSIII
Coimbatore,2015,31821,Diesel,Automatic,First,20.58,1995.0,143.0,5.0,17.22,BMW,Series 118d Base
Mumbai,2015,12000,Petrol,Automatic,First,19.0,1199.0,88.7,5.0,6.0,Honda,1.2 V CVT i VTEC
Delhi,2012,88578,Petrol,Manual,First,13.5,1799.0,130.0,5.0,3.95,Honda,2006-2010 1.8 V MT
Kochi,2014,44965,Diesel,Automatic,First,19.27,2143.0,170.0,5.0,17.95,Mercedes-Benz,C-Class C 220 CDI Avantgarde
Kolkata,2014,45044,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.7,Honda,SX i-DTEC
Kochi,2016,34204,Petrol,Manual,First,22.0,1197.0,81.8,5.0,5.43,Maruti,VVT VXI
Kochi,2008,80759,Petrol,Manual,Third,17.0,1086.0,,5.0,1.67,Hyundai,Xing XO eRLX Euro II
Coimbatore,2012,91235,Diesel,Manual,First,11.5,2982.0,171.0,7.0,13.49,Toyota,3.0 Diesel
Pune,2014,38800,Petrol,Manual,First,18.6,1199.0,76.8,5.0,2.85,Chevrolet,LT Option
Chennai,2013,83000,Diesel,Manual,First,21.14,1498.0,103.52,5.0,4.75,Skoda,1.5 TDI Elegance
Kochi,2018,41283,Petrol,Manual,First,20.73,1373.0,91.1,5.0,9.9,Maruti,1.4 Alpha
Mumbai,2013,23000,Petrol,Automatic,First,11.05,2894.0,444.0,4.0,37.0,Audi,Coupe
Mumbai,2014,48000,Diesel,Automatic,First,21.76,1995.0,190.0,5.0,26.5,BMW,Series Luxury Line
Coimbatore,2015,48214,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,23.32,Audi,2.0 TDI 177 Bhp Premium Plus
Chennai,2016,35000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,6.25,Maruti,VDI
Kolkata,2010,35277,Petrol,Automatic,First,7.81,5461.0,362.9,5.0,30.0,Mercedes-Benz,Class 2005 2013 S 500
Coimbatore,2016,54620,Diesel,Automatic,First,21.66,1498.0,103.52,5.0,9.86,Skoda,1.5 TDI AT Elegance Plus Black Package
Pune,2012,136997,Diesel,Automatic,First,17.2,1968.0,138.1,5.0,8.5,Skoda,Elegance 2.0 TDI CR AT
Kochi,2019,14322,Petrol,Manual,First,21.1,814.0,55.2,5.0,4.23,Hyundai,Magna Plus
Jaipur,2012,65634,Diesel,Manual,First,22.07,1199.0,73.9,5.0,3.5,Volkswagen,Diesel Trendline 1.2L
Kolkata,2016,6000,Petrol,Manual,First,20.63,1198.0,67.06,5.0,2.5,Datsun,NXT
Kolkata,2013,33280,Petrol,Manual,First,19.4,1198.0,86.8,5.0,2.39,Honda,S MT
Delhi,2013,29000,Petrol,Automatic,First,14.8,1595.0,120.7,5.0,11.25,Mercedes-Benz,Class B180
Kochi,2015,42831,Diesel,Manual,First,26.0,1498.0,98.6,5.0,7.11,Honda,i DTEC V
Ahmedabad,2016,90000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,10.9,Toyota,2.5 G (Diesel) 7 Seater
Ahmedabad,2017,24005,Petrol,Manual,First,20.4,1197.0,81.8,5.0,6.2,Maruti,VXI Optional
Mumbai,2012,32792,Diesel,Manual,First,15.1,2179.0,140.0,7.0,7.9,Mahindra,W8 2WD
Kochi,2014,147898,Diesel,Manual,First,22.7,1498.0,89.84,5.0,4.42,Ford,1.5 DV5 MT Ambiente
Mumbai,2012,131765,Diesel,Manual,First,13.0,2982.0,168.5,7.0,13.5,Toyota,4x2 Manual
Chennai,2013,65000,Diesel,Automatic,First,21.5,1498.0,108.5,5.0,6.25,Volkswagen,1.5 Highline Plus AT 16 Alloy
Jaipur,2010,66123,Diesel,Manual,Second,20.0,1399.0,68.0,5.0,2.1,Ford,Diesel Titanium
Mumbai,2015,41000,Diesel,Automatic,First,15.3,2993.0,258.0,5.0,45.0,BMW,xDrive 30d
Coimbatore,2017,23550,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,33.66,Mercedes-Benz,C-Class C 220 CDI Style
Bangalore,2012,45000,Petrol,Manual,Second,19.4,1198.0,86.8,5.0,3.65,Honda,V MT
Delhi,2013,60000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.75,Hyundai,Magna 1.2
Bangalore,2016,44414,Diesel,Automatic,First,17.9,2143.0,170.0,5.0,42.5,Mercedes-Benz,220
Kolkata,2019,1000,Petrol,Manual,First,18.9,1197.0,81.86,5.0,6.5,Hyundai,i10 1.2 Kappa Asta
Mumbai,2012,62500,Diesel,Automatic,Second,17.68,1968.0,174.33,5.0,19.0,Audi,2011-2015 2.0 TDI Premium Plus
Mumbai,2013,21000,Petrol,Automatic,Second,14.4,1598.0,103.6,5.0,4.45,Volkswagen,Petrol Highline AT
Jaipur,2017,8525,Diesel,Automatic,Second,16.6,1998.0,112.0,5.0,23.0,Mini,Cooper D
Bangalore,2014,29000,Diesel,Manual,First,22.54,1396.0,88.73,5.0,8.35,Hyundai,Asta 1.4 CRDi
Mumbai,2014,40000,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,22.95,Audi,2011-2015 2.0 TDI Premium Plus
Jaipur,2012,88000,Diesel,Manual,First,25.44,936.0,57.6,5.0,1.5,Chevrolet,Diesel LT
Kochi,2012,53537,Petrol,Automatic,First,13.7,1798.0,157.75,5.0,6.89,Skoda,Elegance 1.8 TSI AT
Chennai,2006,216000,Diesel,Manual,Second,17.8,1399.0,68.0,5.0,1.45,Ford,1.4 TDCi EXI Limited Edition
Hyderabad,2014,51000,Diesel,Automatic,First,22.48,1995.0,190.0,5.0,33.5,BMW,Series 520d Luxury Line
Jaipur,2007,118500,Petrol,Manual,First,12.9,1598.0,102.5,5.0,1.25,Chevrolet,Magnum 1.6 LS BS3
Hyderabad,2012,63000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,4.2,Volkswagen,Diesel Highline 1.2L
Mumbai,2015,25000,Diesel,Manual,First,19.98,1461.0,108.5,8.0,6.75,Renault,110PS RxZ 8 Seater
Bangalore,2014,37382,Diesel,Automatic,First,13.0,2143.0,201.1,5.0,32.0,Mercedes-Benz,E250 CDI Avantgrade
Kochi,2017,24773,Petrol,Manual,First,21.4,1197.0,83.1,5.0,7.5,Maruti,Alpha
Delhi,2012,62000,Diesel,Manual,First,22.32,1582.0,126.32,5.0,4.6,Hyundai,1.6 SX
Kochi,2017,52340,Petrol,Manual,First,19.81,1086.0,68.05,5.0,4.04,Hyundai,Magna 1.1
Kochi,2016,56739,Diesel,Manual,First,15.4,1997.0,120.0,7.0,10.31,Mahindra,1.99 S10 4WD
Coimbatore,2018,36091,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,55.76,Land Rover,Range Rover 2.2L Dynamic
Chennai,2010,120000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2.6,Ford,Diesel ZXI
Mumbai,2016,33000,Diesel,Manual,First,25.47,1248.0,88.5,7.0,8.5,Maruti,ZDI
Ahmedabad,2007,60006,Petrol,Manual,First,,,,,2.95,Honda,1.5 GXI
Kolkata,2014,52000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.5,Honda,S i-Dtech
Jaipur,2015,43571,Petrol,Manual,First,20.36,1197.0,78.9,5.0,3.55,Hyundai,Magna
Kolkata,2013,50000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.25,Honda,S i-Dtech
Hyderabad,2008,113000,Diesel,Manual,First,17.5,1896.0,106.0,5.0,4.5,Skoda,Ambiente
Delhi,2014,90000,Diesel,Manual,First,19.87,1461.0,83.8,5.0,5.35,Renault,85PS Diesel RxL
Chennai,2017,29000,Diesel,Manual,Second,17.45,1493.0,100.0,7.0,6.5,Mahindra,N6
Mumbai,2016,20000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,9.0,Maruti,Brezza ZDi Plus Dual Tone
Kochi,2016,61012,Petrol,Manual,First,18.6,1197.0,81.83,5.0,6.0,Hyundai,Asta Option 1.2
Jaipur,2009,87459,Petrol,Manual,First,14.7,1390.0,85.0,5.0,2.75,Skoda,1.4 MPI Ambiente
Pune,2010,70500,Petrol,Manual,First,15.64,1193.0,64.1,5.0,1.5,Tata,eCS GLX
Delhi,2015,64103,Diesel,Automatic,First,15.73,1968.0,174.33,5.0,19.9,Audi,2012-2015 35 TDI Quattro Premium Plus
Mumbai,2014,76000,Petrol,Automatic,First,14.7,1798.0,177.5,5.0,10.0,Skoda,Elegance 1.8 TSI AT
Delhi,2014,104000,Diesel,Manual,First,23.59,1364.0,67.06,5.0,3.0,Toyota,Liva GD SP
Kolkata,2010,42001,Petrol,Manual,First,16.1,,,,2.11,Maruti,1.3 VXi
Kochi,2014,37245,Petrol,Automatic,First,14.8,1595.0,120.7,5.0,11.96,Mercedes-Benz,Class B180
Kolkata,2013,45000,Diesel,Manual,First,27.4,1498.0,98.6,5.0,3.25,Honda,S Diesel
Jaipur,2012,117837,Diesel,Manual,Second,22.32,1582.0,126.32,5.0,4.75,Hyundai,1.6 SX
Mumbai,2014,30000,Diesel,Manual,First,20.46,1461.0,83.8,5.0,5.95,Renault,85PS Diesel RxL Optional
Delhi,2015,27057,Petrol,Manual,Second,15.29,1591.0,121.3,5.0,8.15,Hyundai,1.6 VTVT S
Mumbai,2016,8500,Petrol,Automatic,First,20.51,998.0,67.0,5.0,4.22,Maruti,R AMT VXI
Kolkata,2010,30500,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,10.5,Mercedes-Benz,C-Class C250 Avantgarde
Delhi,2012,56000,Diesel,Automatic,First,11.8,2967.0,246.7,5.0,45.0,Audi,L 3.0 TDI quattro
Pune,2012,44000,Petrol,Manual,Second,19.81,1086.0,68.05,5.0,2.9,Hyundai,Magna 1.1
Mumbai,2017,10500,Petrol,Automatic,First,14.3,1598.0,103.52,5.0,8.9,Skoda,1.6 MPI AT Style Black Package
Hyderabad,2017,26000,Petrol,Automatic,First,14.67,1798.0,177.46,5.0,26.0,Skoda,Style 1.8 TSI AT
Coimbatore,2018,25166,Petrol,Manual,First,17.19,1197.0,81.86,5.0,8.22,Hyundai,Active 1.2 SX
Kolkata,2014,64000,Diesel,Manual,Second,25.8,1498.0,98.6,5.0,3.5,Honda,VX i-DTEC
Chennai,2004,61000,Petrol,Manual,Second,18.9,998.0,67.1,5.0,1.25,Maruti,R LXI
Hyderabad,2013,107000,Diesel,Manual,First,21.03,1461.0,65.0,5.0,3.7,Mahindra,1.5 D4 BSIV
Coimbatore,2018,29161,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,39.41,Mercedes-Benz,C-Class C 220d Avantgarde Edition C
Kolkata,2013,32000,Petrol,Manual,First,22.5,998.0,67.04,5.0,2.65,Maruti,R VXI
Coimbatore,2015,46173,Diesel,Manual,Second,19.01,1461.0,108.5,5.0,8.92,Nissan,XV Premium 110 PS Anniversary Edition
Delhi,2013,47000,Diesel,Manual,First,17.8,1248.0,,5.0,4.1,Maruti,VDI BSIV
Kochi,2017,26327,Petrol,Automatic,First,16.82,1998.0,189.08,4.0,35.67,Mini,Convertible S
Bangalore,2015,70436,Diesel,Manual,First,,1498.0,99.0,,3.6,Ford,Diesel
Jaipur,2007,200000,Diesel,Manual,Second,17.2,1396.0,53.5,5.0,0.85,Tata,V2 DLS BSII
Kochi,2016,60813,Petrol,Manual,Second,18.6,1199.0,76.8,5.0,3.32,Chevrolet,LT
